iter	Passed	Remaining
0	177	177666
1	223	111632
2	267	88878
3	291	72644
4	335	66801
5	379	62852
6	408	57966
7	459	57007
8	489	53865
9	512	50754
10	559	50332
11	598	49313
12	615	46694
13	645	45488
14	691	45396
15	731	44961
16	777	44934
17	822	44891
18	839	43358
19	885	43382
20	917	42755
21	963	42815
22	989	42018
23	1035	42104
24	1080	42149
25	1118	41912
26	1195	43074
27	1211	42062
28	1243	41628
29	1267	40972
30	1313	41058
31	1344	40680
32	1389	40730
33	1420	40360
34	1458	40217
35	1504	40281
36	1562	40661
37	1608	40710
38	1653	40742
39	1683	40411
40	1721	40269
41	1745	39805
42	1790	39846
43	1836	39898
44	1881	39934
45	1941	40256
46	1957	39694
47	1994	39566
48	2032	39441
49	2055	39055
50	2078	38673
51	2153	39263
52	2191	39154
53	2237	39197
54	2284	39257
55	2322	39147
56	2360	39059
57	2406	39085
58	2423	38648
59	2468	38679
60	2517	38748
61	2563	38781
62	2609	38804
63	2654	38819
64	2700	38847
65	2717	38450
66	2764	38497
67	2813	38566
68	2879	38857
69	2925	38867
70	2971	38885
71	3009	38793
72	3055	38795
73	3085	38611
74	3108	38335
75	3124	37988
76	3169	37997
77	3215	38011
78	3261	38023
79	3294	37888
80	3332	37813
81	3377	37814
82	3423	37819
83	3438	37500
84	3484	37506
85	3530	37524
86	3560	37368
87	3606	37371
88	3666	37526
89	3712	37534
90	3758	37548
91	3804	37546
92	3835	37403
93	3879	37396
94	3927	37412
95	3972	37407
96	4010	37332
97	4055	37325
98	4100	37321
99	4124	37118
100	4169	37113
101	4215	37108
102	4224	36788
103	4240	36529
104	4285	36527
105	4332	36536
106	4377	36533
107	4422	36529
108	4468	36524
109	4507	36466
110	4544	36398
111	4575	36278
112	4621	36275
113	4666	36270
114	4682	36035
115	4728	36033
116	4773	36022
117	4819	36026
118	4866	36027
119	4912	36022
120	4958	36018
121	5003	36010
122	5034	35898
123	5079	35887
124	5124	35871
125	5170	35863
126	5214	35846
127	5260	35838
128	5306	35826
129	5322	35620
130	5367	35607
131	5412	35590
132	5458	35581
133	5504	35573
134	5513	35325
135	5559	35321
136	5590	35213
137	5635	35199
138	5681	35189
139	5726	35174
140	5775	35186
141	5819	35163
142	5865	35153
143	5911	35139
144	5955	35119
145	6001	35107
146	6018	34922
147	6034	34737
148	6079	34725
149	6095	34540
150	6141	34529
151	6186	34516
152	6232	34500
153	6278	34492
154	6326	34489
155	6378	34509
156	6425	34499
157	6475	34506
158	6544	34615
159	6561	34446
160	6610	34450
161	6677	34543
162	6745	34639
163	6794	34632
164	6840	34615
165	6856	34445
166	6900	34420
167	6946	34402
168	6993	34386
169	7040	34375
170	7064	34247
171	7109	34225
172	7154	34199
173	7204	34198
174	7252	34192
175	7301	34184
176	7319	34035
177	7371	34041
178	7416	34015
179	7432	33859
180	7482	33856
181	7529	33842
182	7575	33822
183	7621	33801
184	7645	33682
185	7709	33737
186	7759	33737
187	7804	33710
188	7853	33701
189	7902	33689
190	7952	33683
191	7999	33665
192	8034	33594
193	8081	33577
194	8136	33587
195	8162	33484
196	8204	33444
197	8248	33410
198	8284	33345
199	8340	33362
200	8357	33221
201	8403	33197
202	8449	33173
203	8497	33155
204	8543	33132
205	8591	33112
206	8636	33085
207	8682	33058
208	8726	33028
209	8774	33008
210	8826	33006
211	8875	32991
212	8915	32942
213	8961	32912
214	9006	32884
215	9052	32856
216	9098	32831
217	9155	32840
218	9200	32811
219	9246	32782
220	9292	32753
221	9342	32739
222	9388	32712
223	9436	32691
224	9483	32666
225	9537	32664
226	9604	32705
227	9650	32676
228	9700	32659
229	9745	32627
230	9791	32597
231	9848	32602
232	9901	32594
233	9917	32465
234	9969	32452
235	10018	32433
236	10066	32406
237	10115	32386
238	10159	32349
239	10208	32328
240	10254	32295
241	10277	32192
242	10322	32157
243	10360	32100
244	10404	32062
245	10448	32024
246	10493	31990
247	10542	31968
248	10565	31866
249	10610	31832
250	10634	31734
251	10685	31718
252	10741	31716
253	10803	31731
254	10852	31705
255	10896	31668
256	10919	31569
257	10969	31548
258	11014	31512
259	11059	31477
260	11103	31439
261	11149	31405
262	11197	31377
263	11251	31367
264	11301	31344
265	11352	31324
266	11412	31331
267	11443	31256
268	11490	31224
269	11536	31192
270	11581	31154
271	11637	31148
272	11682	31109
273	11725	31069
274	11771	31032
275	11822	31012
276	11867	30975
277	11914	30942
278	11938	30850
279	11982	30812
280	12026	30773
281	12077	30749
282	12101	30659
283	12161	30659
284	12219	30655
285	12275	30644
286	12319	30606
287	12359	30554
288	12403	30514
289	12419	30405
290	12450	30333
291	12501	30312
292	12526	30225
293	12576	30199
294	12624	30169
295	12668	30131
296	12713	30093
297	12769	30081
298	12821	30060
299	12878	30049
300	12924	30014
301	12971	29979
302	13019	29948
303	13065	29913
304	13115	29885
305	13164	29855
306	13207	29814
307	13238	29743
308	13284	29706
309	13300	29604
310	13345	29566
311	13397	29542
312	13441	29501
313	13487	29465
314	13536	29436
315	13558	29348
316	13574	29247
317	13619	29209
318	13669	29181
319	13701	29115
320	13754	29094
321	13806	29071
322	13851	29031
323	13896	28994
324	13912	28895
325	13927	28795
326	13972	28757
327	14003	28689
328	14060	28677
329	14104	28637
330	14172	28645
331	14221	28614
332	14280	28603
333	14353	28621
334	14410	28606
335	14462	28580
336	14508	28542
337	14516	28432
338	14562	28393
339	14592	28325
340	14637	28286
341	14679	28243
342	14723	28202
343	14739	28108
344	14783	28068
345	14832	28036
346	14875	27993
347	14926	27966
348	14971	27925
349	15015	27886
350	15061	27847
351	15106	27808
352	15149	27766
353	15157	27660
354	15202	27621
355	15218	27530
356	15263	27490
357	15328	27488
358	15363	27431
359	15408	27392
360	15457	27361
361	15509	27333
362	15556	27298
363	15594	27246
364	15640	27210
365	15687	27174
366	15732	27135
367	15777	27096
368	15803	27024
369	15834	26961
370	15879	26922
371	15902	26845
372	15947	26807
373	15992	26767
374	16041	26735
375	16087	26699
376	16135	26664
377	16181	26627
378	16225	26586
379	16275	26554
380	16307	26493
381	16338	26432
382	16388	26401
383	16404	26315
384	16419	26228
385	16464	26190
386	16481	26106
387	16526	26066
388	16568	26024
389	16614	25987
390	16665	25956
391	16712	25921
392	16766	25895
393	16813	25860
394	16822	25765
395	16870	25732
396	16908	25681
397	16965	25660
398	17010	25621
399	17026	25539
400	17055	25476
401	17099	25436
402	17145	25398
403	17184	25351
404	17200	25269
405	17247	25233
406	17292	25195
407	17331	25147
408	17385	25122
409	17418	25066
410	17472	25039
411	17523	25009
412	17582	24989
413	17637	24964
414	17694	24943
415	17710	24863
416	17726	24783
417	17773	24746
418	17818	24708
419	17865	24670
420	17940	24673
421	17985	24634
422	18032	24598
423	18058	24531
424	18097	24485
425	18145	24450
426	18204	24429
427	18275	24424
428	18333	24401
429	18389	24377
430	18439	24344
431	18488	24308
432	18534	24270
433	18580	24231
434	18634	24204
435	18687	24173
436	18760	24169
437	18841	24175
438	18898	24150
439	18916	24075
440	18965	24040
441	19016	24006
442	19070	23977
443	19123	23946
444	19207	23954
445	19262	23927
446	19303	23881
447	19318	23802
448	19381	23784
449	19390	23699
450	19443	23668
451	19496	23636
452	19528	23580
453	19574	23541
454	19623	23504
455	19672	23468
456	19722	23433
457	19767	23392
458	19812	23351
459	19862	23316
460	19914	23284
461	19948	23230
462	20000	23197
463	20046	23157
464	20055	23074
465	20078	23008
466	20130	22975
467	20181	22941
468	20213	22885
469	20262	22849
470	20307	22808
471	20355	22770
472	20400	22729
473	20439	22681
474	20483	22639
475	20498	22565
476	20544	22525
477	20602	22499
478	20661	22473
479	20718	22445
480	20762	22403
481	20799	22353
482	20843	22311
483	20888	22269
484	20911	22204
485	20955	22163
486	20985	22105
487	21008	22041
488	21051	21998
489	21067	21927
490	21112	21886
491	21156	21844
492	21200	21802
493	21244	21760
494	21290	21720
495	21334	21678
496	21380	21638
497	21425	21597
498	21470	21556
499	21514	21514
500	21551	21465
501	21596	21424
502	21605	21347
503	21650	21306
504	21665	21236
505	21681	21167
506	21727	21127
507	21771	21085
508	21816	21045
509	21870	21013
510	21923	20979
511	21969	20939
512	22012	20897
513	22057	20855
514	22073	20787
515	22116	20745
516	22160	20703
517	22205	20662
518	22250	20620
519	22294	20579
520	22340	20539
521	22379	20492
522	22400	20430
523	22411	20358
524	22472	20332
525	22528	20301
526	22578	20265
527	22622	20222
528	22652	20168
529	22741	20166
530	22764	20106
531	22809	20065
532	22857	20027
533	22904	19987
534	22949	19947
535	22995	19906
536	23042	19866
537	23087	19826
538	23133	19785
539	23178	19744
540	23224	19704
541	23270	19663
542	23307	19616
543	23332	19557
544	23355	19498
545	23412	19467
546	23486	19450
547	23509	19391
548	23554	19350
549	23570	19285
550	23617	19245
551	23661	19203
552	23705	19161
553	23728	19103
554	23772	19060
555	23816	19019
556	23839	18960
557	23884	18918
558	23899	18854
559	23943	18812
560	23994	18776
561	24044	18738
562	24088	18697
563	24132	18655
564	24176	18614
565	24222	18573
566	24268	18533
567	24314	18492
568	24345	18440
569	24391	18400
570	24440	18362
571	24499	18331
572	24548	18293
573	24572	18236
574	24625	18201
575	24671	18160
576	24687	18098
577	24731	18056
578	24780	18018
579	24825	17977
580	24841	17914
581	24856	17852
582	24900	17810
583	24918	17750
584	24944	17695
585	24988	17653
586	25024	17606
587	25069	17565
588	25078	17499
589	25123	17458
590	25170	17419
591	25219	17381
592	25230	17316
593	25277	17277
594	25313	17230
595	25336	17174
596	25381	17133
597	25420	17088
598	25471	17051
599	25494	16996
600	25538	16955
601	25583	16913
602	25630	16874
603	25675	16833
604	25737	16803
605	25785	16764
606	25823	16719
607	25896	16696
608	25958	16666
609	26006	16627
610	26041	16579
611	26085	16537
612	26129	16496
613	26174	16455
614	26213	16410
615	26252	16364
616	26299	16325
617	26316	16266
618	26360	16225
619	26398	16179
620	26445	16139
621	26493	16100
622	26542	16061
623	26567	16008
624	26620	15972
625	26637	15914
626	26668	15864
627	26717	15826
628	26773	15791
629	26825	15754
630	26883	15721
631	26928	15679
632	26975	15639
633	27038	15608
634	27101	15577
635	27147	15537
636	27194	15497
637	27220	15444
638	27292	15418
639	27368	15394
640	27417	15355
641	27434	15298
642	27484	15259
643	27535	15221
644	27579	15179
645	27595	15121
646	27640	15080
647	27685	15038
648	27729	14997
649	27753	14944
650	27769	14887
651	27818	14848
652	27852	14800
653	27897	14759
654	27936	14714
655	27984	14675
656	28032	14634
657	28077	14593
658	28123	14552
659	28167	14510
660	28212	14469
661	28257	14427
662	28300	14385
663	28338	14339
664	28382	14297
665	28425	14255
666	28471	14214
667	28517	14173
668	28593	14146
669	28637	14104
670	28681	14063
671	28726	14021
672	28770	13979
673	28816	13937
674	28860	13895
675	28911	13856
676	28956	13815
677	28972	13759
678	28988	13704
679	29034	13663
680	29081	13622
681	29130	13582
682	29180	13543
683	29227	13502
684	29250	13450
685	29294	13408
686	29338	13366
687	29368	13318
688	29384	13263
689	29429	13221
690	29445	13167
691	29490	13125
692	29535	13084
693	29544	13026
694	29588	12985
695	29619	12937
696	29664	12895
697	29711	12855
698	29742	12807
699	29795	12769
700	29848	12731
701	29894	12690
702	29946	12651
703	29969	12600
704	30014	12559
705	30058	12517
706	30103	12475
707	30148	12433
708	30192	12391
709	30222	12344
710	30271	12304
711	30288	12251
712	30344	12214
713	30404	12178
714	30449	12137
715	30498	12096
716	30544	12055
717	30595	12016
718	30640	11975
719	30657	11922
720	30681	11872
721	30755	11842
722	30816	11806
723	30874	11769
724	30921	11728
725	30981	11692
726	31027	11651
727	31071	11609
728	31116	11567
729	31163	11526
730	31207	11484
731	31244	11439
732	31282	11394
733	31326	11352
734	31372	11311
735	31423	11271
736	31481	11234
737	31547	11199
738	31569	11149
739	31623	11110
740	31670	11069
741	31719	11029
742	31766	10987
743	31788	10937
744	31832	10895
745	31879	10854
746	31924	10812
747	31969	10770
748	32016	10729
749	32066	10688
750	32121	10650
751	32168	10608
752	32214	10566
753	32260	10525
754	32310	10484
755	32355	10442
756	32401	10401
757	32426	10352
758	32450	10303
759	32521	10270
760	32568	10228
761	32618	10187
762	32675	10149
763	32725	10108
764	32781	10070
765	32838	10031
766	32888	9990
767	32941	9951
768	32961	9901
769	33008	9859
770	33057	9818
771	33104	9777
772	33123	9727
773	33159	9682
774	33212	9642
775	33266	9602
776	33329	9565
777	33364	9520
778	33388	9472
779	33438	9431
780	33461	9382
781	33506	9340
782	33552	9298
783	33597	9256
784	33613	9206
785	33659	9164
786	33705	9122
787	33751	9080
788	33796	9038
789	33842	8996
790	33888	8954
791	33934	8912
792	33980	8870
793	34045	8832
794	34091	8790
795	34137	8748
796	34154	8699
797	34200	8657
798	34255	8617
799	34317	8579
800	34333	8529
801	34378	8487
802	34395	8438
803	34441	8396
804	34488	8354
805	34534	8312
806	34584	8271
807	34630	8228
808	34679	8187
809	34759	8153
810	34830	8117
811	34895	8079
812	34952	8039
813	35000	7997
814	35053	7956
815	35107	7916
816	35155	7874
817	35201	7832
818	35238	7787
819	35254	7738
820	35299	7696
821	35343	7653
822	35374	7607
823	35420	7565
824	35452	7520
825	35502	7478
826	35555	7437
827	35603	7395
828	35659	7355
829	35708	7313
830	35758	7272
831	35809	7230
832	35860	7189
833	35883	7142
834	35927	7099
835	35976	7057
836	36035	7017
837	36081	6975
838	36131	6933
839	36177	6891
840	36222	6848
841	36267	6805
842	36345	6768
843	36392	6726
844	36442	6684
845	36486	6641
846	36531	6598
847	36576	6556
848	36591	6508
849	36621	6462
850	36660	6418
851	36706	6376
852	36732	6330
853	36783	6288
854	36831	6246
855	36881	6204
856	36938	6163
857	36995	6122
858	37050	6081
859	37119	6042
860	37178	6002
861	37227	5959
862	37273	5917
863	37290	5869
864	37325	5825
865	37383	5784
866	37430	5741
867	37480	5699
868	37530	5657
869	37587	5616
870	37634	5573
871	37685	5531
872	37730	5488
873	37776	5446
874	37822	5403
875	37873	5361
876	37921	5318
877	37968	5275
878	38031	5235
879	38080	5192
880	38141	5151
881	38185	5108
882	38230	5065
883	38276	5022
884	38322	4979
885	38345	4933
886	38397	4891
887	38445	4848
888	38506	4807
889	38558	4765
890	38624	4725
891	38672	4682
892	38724	4640
893	38788	4599
894	38861	4559
895	38925	4518
896	38988	4476
897	39031	4433
898	39082	4390
899	39128	4347
900	39173	4304
901	39203	4259
902	39248	4216
903	39299	4173
904	39369	4132
905	39419	4089
906	39468	4046
907	39508	4003
908	39542	3958
909	39582	3914
910	39632	3871
911	39691	3829
912	39742	3787
913	39792	3744
914	39849	3701
915	39866	3655
916	39911	3612
917	39961	3569
918	40006	3526
919	40051	3482
920	40098	3439
921	40158	3397
922	40207	3354
923	40238	3309
924	40285	3266
925	40337	3223
926	40362	3178
927	40418	3135
928	40476	3093
929	40520	3049
930	40581	3007
931	40609	2962
932	40653	2919
933	40697	2875
934	40742	2832
935	40786	2788
936	40839	2745
937	40896	2703
938	40948	2660
939	40993	2616
940	41037	2573
941	41081	2529
942	41127	2485
943	41173	2442
944	41220	2399
945	41267	2355
946	41311	2312
947	41328	2266
948	41374	2223
949	41422	2180
950	41473	2136
951	41519	2093
952	41566	2049
953	41613	2006
954	41659	1963
955	41705	1919
956	41752	1876
957	41810	1833
958	41869	1790
959	41917	1746
960	41963	1702
961	42009	1659
962	42066	1616
963	42121	1572
964	42165	1529
965	42210	1485
966	42254	1441
967	42300	1398
968	42346	1354
969	42391	1311
970	42418	1266
971	42467	1223
972	42514	1179
973	42562	1136
974	42610	1092
975	42650	1048
976	42682	1004
977	42729	961
978	42745	916
979	42777	873
980	42811	829
981	42858	785
982	42928	742
983	42991	699
984	43035	655
985	43080	611
986	43124	567
987	43168	524
988	43212	480
989	43255	436
990	43300	393
991	43337	349
992	43381	305
993	43426	262
994	43471	218
995	43516	174
996	43563	131
997	43612	87
998	43660	43
999	43707	0
